Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Beit Chabad Nepal,,,NGO - International,Nepal,Early Recovery,,,,,"As the local outpost of the Chabad Lubavitch international organization, Beit Chabad Nepal provides a ""home"" and services to Jews who are visiting or living in Nepal. This includes satelite phones for backpackers to take with them. These phones have helped them to locate and provide assistance to stranded backpackers. They have also been cooking and serving thousands of meals (for travelers and Nepalis) at their site and in nearby camps. The head of the organization has been involved in helecopter deliveries of supplies of food and water to stranded hikers. One group of 25 stranded backpackers was then rescued later that day. The organization has also involved the Israeli backpackers who are now staying with them in the response process - cooking and distributing meals, etc. They have been providing material, physical, and  emotional support after this trauma.
Address: Opposite Marshiangdy hotel (Close to Vishaly hotel), Thamel, Kathmandu, Nepal",,http://www.chabadnepal.com/contents.asp?aid=111637,https://www.facebook.com/chabadnepal,,"http://www.chabadnepal.com/donate/
https://lubavitch.com/donate.html?o=2047969","https://twitter.com/AviMayer/status/593806252158767104/photo/1
http://www.chabad.org/news/article_cdo/aid/2928621/jewish/Chabad-Center-in-Nepal-a-Crisis-Hub-After-Massive-Earthquake.htm
https://lubavitch.com/donate.html?o=2047969
http://lubavitch.com/news/article/2047977/Nepali-Locals-Travelers-Find-Food-Solace-at-Chabad.html
http://lubavitch.com/news/article/2047937/Chabad-Provides-Himalayan-Trekkers-With-Satellite-Phones.html
http://www.jta.org/2015/04/30/news-opinion/world/chabad-rabbi-borrows-helicopter-to-bring-relief-to-stranded-hikers-in-nepal
http://www.israelnationalnews.com/News/News.aspx/194767#.VUmpgPlVikp"
Bibeksheel Nepali,,,Political Party,Nepal,Shelter & NFI,WASH,Shelter & NFI,Logistics,,"Has worked in collaboration with Door Foundation in various places of Rasuwa, Nuwakot, Khokana, Bhaktapur, Dhading, Kavrepalanchok, Gorakha, Sindhupalchok, Lalitpur, Kirtipur, Kathmandu, Sankhu (http://leadnepal.com/earthquake/what-bibeksheel-is-doing/)",,http://leadnepal.com,https://www.facebook.com/bibeksheelnepali,https://twitter.com/bibeksheelnp,http://leadnepal.com/donate/,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
Blue Sky Rescue,,,NGO - International,China,Search & Rescue,,,,,"5/3 69 team members on the ground in Nepal. Working with the Nepali military & police to identify places where to concentrate digging/rescue operations/etc. They are contributing to the building of refugee camps, clean water supplies, etc. (Source: http://www.hdrich.com/hotcontent_en-44047.html - seems to have been auto-translated from Chinese and it requires a lot of interpretation to pull useful information out)

More than 20 members of a Chinese non-governmental rescue team called Blue Sky Rescue also arrived in Kathmandu on Monday night. In Machha Pokhari area of Kathmandu, China's Blue Sky Rescue ( BSR) team has been working with the Nepalese army at two sites, where several  victims were confirmed to be buried in. The badly damaged buildings were leaning forward and could collapse at any time, but several Chinese rescuers dived into the bottom without fear and tried to pull a corpse out.... the BSR has already found more than 10 bodies since the quake and will start the disinfecting process soon in case of a possible epidemic.http://www.globalpost.com/article/6535090/2015/05/01/roundup-chinese-rescuers-mark-labors-day-relief-efforts)",,,NA,NA,,"http://jayseng.com/chinese-rescuers-mark-may-day-with-relief-efforts/
http://www.hdrich.com/hotcontent_en-44047.html (source appears to have been auto-translated from Chinese and it is filled with a lot of weird stuff. It required a lot of digging to get to the useful information)"
Broadlink,,,Corporation,Nepal,Telecom,,,,,Logging and locating all network coverage ,,http://broadlink.com.np/coverage/kathmandu/,https://www.facebook.com/broadlink.dharan,NA,,http://broadlink.com.np/coverage/kathmandu/
Brother's Brother Foundation,,BBF,NGO - International,USA,Early Recovery,Health,,,,"Brother’s Brother Foundation is supporting three medical teams leaving for Nepal in the next 10 days.  These groups will leave from Pittsburgh, Cleveland, and Loveland, Colorado. BBF is providing medical supplies for several medical teams doing hand-carry emergency work in Nepal. (Source: http://www.wpxi.com/news/news/local/brothers-brother-foundation-pittsburgh-nepal-aid/nk6WG/)

BBF has 40 staff members plus volunteers on the ground. Has partnered with Himalayan HealthCare a Nepal-based charity, ADRA International and others to provide emergency relief. Himalayan HealthCare has provided primary healthcare, education and income-generation opportunities in rural Nepal for 23 years.  In addition to training health workers, Himalayan HealthCare provides vaccine administration, supplies essential medicines to remote villages and helps patients secure specialty care. BBF will also be working with ADRA International (Adventist Development and Relief Agency) which is focused on a response to the earthquake helping with health and shelter needs. (Source - Luke Hingson, BBF Staff, by email)

BBF is currently working with Remote Area Medical (RAM), Himalayan Health Care, International Medical Relief (IMR), and Cardio Start all of whom have medical professionals on the ground in Nepal.  Himalayan Healthcare is an organization whose focus is the health of the people of the region and their clinics are an integral part of life in the region.  Cardio Start has adapted a planned trip to the region for solely cardiac care to meet a more general need.  Remote Area Medical and International Medical Relief are responding specifically to the crisis.  IMR (based in Loveland, Co.) has a minimum of 5 teams traveling to Nepal over the coming weeks for medical purposes. 
Specifically regarding Himalayan Healthcare, Brother’s Brother is supporting a team of international doctors leaving this weekend to supplement the work of the 40 permanent in country Nepalese staff.  Himalayan Healthcare’s hospital in Ilam (Megh Bahadur Parajuli Community Hospital) was only slightly affected by the quake and is currently operational.  Several clinics operated by Himalayan Healthcare in the villages of Tipling, Sherthung, Borang, Lapa and Jharlang were completely destroyed.  The international team of physicians will be a small team and will be in country for up to three weeks.
BBF itself will continue to support the work of organizations sending teams in the coming weeks and months.  Also as Himalayan Health Care articulates the needs of their clinics in the region BBF will continue our partnership with them to meet their needs as they arise.
(via e-mail)",Health and Shelters,http://brothersbrother.org/earthquake-in-nepal/,NA,NA,https://brothersbrother.org/donationform/,"http://brothersbrother.org/earthquake-in-nepal/
http://www.wpxi.com/news/news/local/brothers-brother-foundation-pittsburgh-nepal-aid/nk6WG/"
Buddhist Tzu Chi Foundation,,,NGO - International,USA,Food Security,Early Recovery,Health,,,"In the first round of distributions, 637 cases of Tzu Chi's ""Jing-Si"" Rice will be distributed in Kathmandu. Near-future distributions will include monetary donations, multi-purpose beds, more food aid, blankets, mosquito nets, and medical supplies. These relief materials are currently being packed and shipped to Nepal.:  They plan to provide medical services, offering surgery, internal medicine and emergency treatment. They have brought with them 65 cases containing one tonnes of medicines and medical goods. They estimate that these can be used by 1,000 people.",,http://www.us.tzuchi.org/us/en/,https://www.facebook.com/pages/Tzu-Chi-Foundation/114315968643044?fref=ts,NA,http://bit.ly/1ERM5Pv,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Build Change,,,NGO - International,USA,Shelter & NFI,,,,,"Build Change is sending a team of engineers to Kathmandu as soon as the search and rescue phase is over-inspect buildings, support reconstruction-and they'llmatch first $45,000 of donations ",,http://www.buildchange.org/,https://www.facebook.com/BuildChange,https://twitter.com/BuildChangeNews,https://salsa4.salsalabs.com/o/51392/donate_page/nepal,http://www.interaction.org/crisis-list/interaction-members-respond-nepal-earthquake
Bundesanstalt Technisches Hilfswerk / German Federal Agency for Technical Relief (THW),,TfH / THW,Government,Germany,WASH,,,,,"Team of 17 volunteers on the ground working on providing clean drinking water and supporting the German embassy in coordinating relief efforts. 60 tons of relief items including two drinking water treatment units and a mobile laboratory arrived 28th of April.
Location of the 2 Water Purification Plants in Kathmandu: N 27°41.832` / E 085°18.792` (source: direct email from THW)",Water extraction and distribution,http://www.thw.de/EN/Homepage/homepage_node.html,https://www.facebook.com/thw.de,https://twitter.com/THWLeitung,"http://reliefweb.int/report/nepal/earthquake-nepal-thw-volunteers-start-their-work
http://www.thw.de/SharedDocs/Meldungen/EN/Einsaetze/international/2015/04/pressemitteilung_003_material_eingetroffen.html",http://www.thw.de/SharedDocs/Meldungen/EN/Einsaetze/international/2015/04/pressemitteilung_003_material_eingetroffen.html;jsessionid=0E83565B7D1F654629B978EF7620678C.1_cid293
CanHelp Nepal,,,NGO - Local,Nepal,Funding,Food Security,WASH,Protection,,"Funding and collection/distribution of care kits (food, water, purification) to served families.",,http://canhelpnepal.org.np/?p=509,,,,http://canhelpnepal.org.np/?p=509
CARE International,CARE International UK,,NGO - International,United Kingdom,Logistics,Shelter & NFI,,,,"As of April 29, CARE had 500 family kits - tarps, blankets, mattresses, hygiene kits, clothes and jerry cans - at Kathmandu airport, 1,000 are on the road to Nepal, and 2,000 more kits are being purchased. CARE is planning to distribute 250 of these emergency shelter and hygiene kits in Gorkha today, Wednesday 29 April; some of these will be delivered by trekking for 4 hours to remote villages. (Source http://www.care-international.org/news/press-releases/emergency-response/care-deploys-emergency-teams-as-survivors-rocked-by-aftershocks.aspx and http://www.careinternational.org.uk/stories/nepal-earthquake-getting-aid-where-its-needed) 

As of April 26, CARE stated they were ""coordinating with other agenices to assist up to 75000 people"" and have 150 people on the ground. CARE International operates an office in Nepal prior to the earthquake.",150 staff in Nepal already working in the majority of the most affected districts,http://care-international.org,https://www.facebook.com/CAREInternationalUK,https://twitter.com/careintuk,http://www.careinternational.org.uk/nepal-earthquake-appeal,http://www.care.org/newsroom/press/press-releases/nepal-earthquake-care-mobilizing-aid-teams-survivors-rocked
CARE International,CARE USA,,NGO - International,USA,Logistics,Shelter & NFI,WASH,Nutrition,,"CARE is putting plans in place to assist up to 75,000 people with temporary shelter, ready-to-eat meals, water purification and toilet construction. (Source: http://www.care.org/newsroom/press/press-releases/nepal-earthquake-care-distribute-shelter-and-hygiene-kits-survivors)",,http://care.org,https://www.facebook.com/carefans,https://twitter.com/CARE,https://my.care.org/site/Donation2;jsessionid=CBA258A47FAB9494C2F3DD4B9894C32C.app330a?18840.donation=form1&df_id=18840,http://www.care.org/newsroom/press/press-releases/nepal-earthquake-care-distribute-shelter-and-hygiene-kits-survivors
Caritas Internationalis,CAFOD UK,,NGO - International,United Kingdom,Funding,,,,,"The Disasters Emergency Committee, of which CAFOD is a member, has announced that it has received over £19 million in donations just a day after the DEC Nepal Earthquake Appeal was launched. CAFOD has pledged an immediate £50,000 to help partner Caritas Nepal to respond. Caritas International, Catholic Relief Services (CRS) are working with Caritas Nepal"," £19 million in donations just a day after the DEC Nepal Earthquake Appeal was launched. CAFOD has provided £200,000 to our partner Caritas Nepal in order to provide shelter, food and sanitation to people affected ",http://cafod.org.uk,https://www.facebook.com/IAmCaritas/,https://twitter.com/cafod,http://www.cafod.org.uk/Give/Donate-to-Emergencies/Nepal-Earthquake-Appeal,http://www.cafod.org.uk/News/Emergencies-news/Support-for-Nepal
Caritas Internationalis,Caritas Australia,,NGO - International,Australia,Funding,Shelter & NFI,WASH,Nutrition,,"Caritas Australia’s Online Editor, Lilian Chan says, “At the moment, our Caritas network is supporting the Caritas Nepal team as they prioritise emergency shelter, trauma counselling, food, clean water and the hygiene materials they desperately need. We will work through the Church network and Caritas Nepal’s strong local connections to reach some of the most marginalised communities in the country.”",,http://www.caritas.org.au/learn/emergency-response/nepal-earthquake-appeal,https://www.facebook.com/CaritasAU,https://twitter.com/caritasaust,https://www.caritas.org.au/donate/online-donation?DonationCode=ANEP15,"https://news.yahoo.com/nepal-earthquake-live-report-011920453.html
http://www.express.co.uk/news/world/572988/17-killed-Mount-Everest-deadliest-day-and-70-Brits-missing-as-aftershocks-hamper-rescue "
