"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
Child Protection,Lalitpur,524 2 05 25,Chapagaun,524 2 05 25 5 022,Psychosocial support,,,282,,,
Child Protection,Lalitpur,524 2 05 25,Siddhipur,524 2 05 25 5 031,Psychosocial support,,,67,,,
Child Protection,Lalitpur,524 2 05 25,Dukuchhap,524 2 05 25 5 020,Psychosocial support,,,166,,,
Child Protection,Lalitpur,524 2 05 25,Lele,524 2 05 25 5 004,Psychosocial support,,,72,,,
Child Protection,Lalitpur,524 2 05 25,Sunakothi,524 2 05 25 5 035,Psychosocial support,,,83,,,
Child Protection,Lalitpur,524 2 05 25,Bhattedanda,524 2 05 25 5 001,Psychosocial support,,,98,,,
Child Protection,Lalitpur,524 2 05 25,Harisiddhi,524 2 05 25 5 037,Psychosocial support,,,155,,,
Child Protection,Lalitpur,524 2 05 25,Lamatar,524 2 05 25 5 028,Psychosocial support,,,187,,,
Child Protection,Lalitpur,524 2 05 25,lubhu,524 2 05 25 5 029,Psychosocial support,,,458,,,
Child Protection,Lalitpur,524 2 05 25,Thechu,524 2 05 25 5 039,Psychosocial support,,,275,,,
Child Protection,Lalitpur,524 2 05 25,Khokana,524 2 05 25 5 034,Psychosocial support,,,400,,,
Child Protection,Lalitpur,524 2 05 25,Bungmati,524 2 05 25 5 038,Psychosocial support,,,1095,,,
Child Protection,Lalitpur,524 2 05 25,Chhampi,524 2 05 25 5 021,Psychosocial support,,,1165,,,
Child Protection,Lalitpur,524 2 05 25,Lalitpur Sub Metropolitan,524 2 05 25 2 001,Psychosocial support,,,1616,,,
Child Protection,Lalitpur,524 2 05 25,Chapagaun,524 2 05 25 5 022,Psychosocial support,,,15,,,
Child Protection,Lalitpur,524 2 05 25,Sunakothi,524 2 05 25 5 035,Psychosocial support,,,21,,,
Child Protection,Lalitpur,524 2 05 25,Gotikhel,524 2 05 25 5 017,Psychosocial support,,,55,,,
Child Protection,Lalitpur,524 2 05 25,,,Unaccompanied and Separated Children identified,,,19,,,
Child Protection,Makawanpur,524 2 06 31,Handikhola,524 2 06 31 5 017,Establishment of child friendly spaces,,1,35,,,
Child Protection,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Establishment of child friendly spaces,,2,213,,,
Child Protection,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Establishment of child friendly spaces,, 2 ,,,,
Child Protection,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Establishment of child friendly spaces,,4,,,,
Child Protection,Makawanpur,524 2 06 31,, ,Psychosocial support,,,12,,,
Child Protection,Makawanpur,524 2 06 31,,,Psychosocial support,,,44,,,
Child Protection,Makawanpur,524 2 06 31,Chitlang,524 2 06 31 5 036,Psychosocial support,,,83,,,
Child Protection,Makawanpur,524 2 06 31,Ipa Panchakanya,524 2 06 31 5 043,Psychosocial support,,,75,,,
Child Protection,Makawanpur,524 2 06 31,Beteni,524 2 05 28 5 022,Psychosocial support,,,50,,,
Child Protection,Makawanpur,524 2 06 31,Palung,524 2 06 31 5 029,Psychosocial support,,,116,,,
Child Protection,Makawanpur,524 2 06 31,Budhichaur,524 2 06 31 5 015,Psychosocial support,,,87,,,
Child Protection,Makawanpur,524 2 06 31,Bhainse,524 2 06 31 5 027,Psychosocial support,,,90,,,
Child Protection,Makawanpur,524 2 06 31,Daman,524 2 06 31 5 030,Psychosocial support,,,165,,,
Child Protection,Makawanpur,524 2 06 31,Tistung,524 2 06 31 5 033,Psychosocial support,,,87,,,
Child Protection,Makawanpur,524 2 06 31,Bhimphedi,524 2 06 31 5 038,Psychosocial support,,,123,,,
Child Protection,Makawanpur,524 2 06 31,Handikhola,524 2 06 31 5 017,Psychosocial support,,,110,,,
Child Protection,Makawanpur,524 2 06 31,Bajrabarahi,524 2 06 31 5 035,Psychosocial support,,,157,,,
Child Protection,Makawanpur,524 2 06 31,Phaparbari,524 2 06 31 5 012,Psychosocial support,,,150,,,
Child Protection,Makawanpur,524 2 06 31,Agra,524 2 06 31 5 032,Psychosocial support,,,86,,,
Child Protection,Makawanpur,524 2 06 31,Manahari,524 2 06 31 5 021,Psychosocial support,,,126,,,
Child Protection,Makawanpur,524 2 06 31,Sisneri,524 2 06 31 5 041,Psychosocial support,,,139,,,
Child Protection,Makawanpur,524 2 06 31,, ,Psychosocial support,,,468,,,
Child Protection,Makawanpur,524 2 06 31,Namtar,524 2 06 31 5 026,Psychosocial support,,,62,,,
Child Protection,Nuwakot,524 2 05 28,Chaughoda,524 2 05 28 5 028,Establishment of child friendly spaces,,1,185,,,
Child Protection,Nuwakot,524 2 05 28,Bidur Municipality,524 2 05 28 3 001,Establishment of child friendly spaces,,,505,,,
Child Protection,Nuwakot,524 2 05 28,Chaughoda,524 2 05 28 5 028,Establishment of child friendly spaces,,,131,,,
Child Protection,Nuwakot,524 2 05 28,Gerkhu,524 2 05 28 5 038,Establishment of child friendly spaces,,3,169,,,
Child Protection,Nuwakot,524 2 05 28,,,Psychosocial support,,,36,,,
Child Protection,Nuwakot,524 2 05 28,Sunkhani,524 2 04 22 5 038,Psychosocial support,,,215,,,
Child Protection,Nuwakot,524 2 05 28,Taruka,524 2 05 28 5 049,Psychosocial support,,,190,,,
Child Protection,Nuwakot,524 2 05 28,Khadga Bhanjyang,524 2 05 28 5 048,Psychosocial support,,,106,,,
Child Protection,Nuwakot,524 2 05 28,Jiling,524 2 05 28 5 011,Psychosocial support,,,323,,,
Child Protection,Nuwakot,524 2 05 28,Ratmate,524 1 03 13 5 010,Psychosocial support,,,321,,,
Child Protection,Nuwakot,524 2 05 28,Khanigaun,524 2 05 28 5 040,Psychosocial support,,,825,,,
Child Protection,Nuwakot,524 2 05 28,, ,Psychosocial support,,,1465,,,
Child Protection,Nuwakot,524 2 05 28,Bidur Municipality,524 2 05 28 3 001,Psychosocial support,,,989,,,
Child Protection,Nuwakot,524 2 05 28,Chaughoda,524 2 05 28 5 028,Psychosocial support,,,851,,,
Child Protection,Nuwakot,524 2 05 28,Bidur Municipality,524 2 05 28 3 001,Identification of Orphan Children,,,4,,,
Child Protection,Nuwakot,524 2 05 28,, ,Identification of Orphan Children,,,22,,,
Child Protection,Nuwakot,524 2 05 28,,,Unaccompanied and Separated Children identified,,,5,,,
Child Protection,Okhaldhunga,524 1 03 13,Okhaldhunga,524 1 03 13 5 003,Establishment of child friendly spaces,, 1 ,70,,,
Child Protection,Okhaldhunga,524 1 03 13,Barudeshwor,524 1 03 13 5 015,Establishment of child friendly spaces,, 1 ,35,,,
Child Protection,Okhaldhunga,524 1 03 13,Harkapur,524 1 03 13 5 020,Establishment of child friendly spaces,, 1 ,40,,,
Child Protection,Okhaldhunga,524 1 03 13,Prapcha,524 1 03 13 5 021,Establishment of child friendly spaces,, 1 ,51,,,
Child Protection,Okhaldhunga,524 1 03 13,Shrichaor,524 1 03 13 5 022,Establishment of child friendly spaces,, 1 ,54,,,
Child Protection,Okhaldhunga,524 1 03 13,Ragani,524 1 03 13 5 026,Establishment of child friendly spaces,, 1 ,28,,,
Child Protection,Okhaldhunga,524 1 03 13,Katunje,524 1 03 13 5 038,Establishment of child friendly spaces,, 1 ,30,,,
Child Protection,Okhaldhunga,524 1 03 13,Tarkerabari,524 1 03 13 5 051,Establishment of child friendly spaces,, 1 ,23,,,
Child Protection,Okhaldhunga,524 1 03 13,Pokali,524 1 03 13 5 053,Establishment of child friendly spaces,, 1 ,12,,,
Child Protection,Okhaldhunga,524 1 03 13,Gamnangtar,524 1 03 13 5 047,Psychosocial support,,,38,,,
Child Protection,Okhaldhunga,524 1 03 13,,,Psychosocial support,,,167,,,
Child Protection,Okhaldhunga,524 1 03 13,, ,Psychosocial support,,,275,,,
Child Protection,Okhaldhunga,524 1 03 13,Narmadeshwor,524 1 03 13 5 048,Psychosocial support,,,15,,,
Child Protection,Okhaldhunga,524 1 03 13,Yesham,524 1 03 13 5 052,Psychosocial support,,,19,,,
Child Protection,Okhaldhunga,524 1 03 13,Singhadevi,524 1 03 13 5 050,Psychosocial support,,,19,,,
Child Protection,Okhaldhunga,524 1 03 13,Pokali,524 1 03 13 5 053,Psychosocial support,,,20,,,
Child Protection,Okhaldhunga,524 1 03 13,Khijiflate,524 1 03 13 5 024,Psychosocial support,,,20,,,
Child Protection,Okhaldhunga,524 1 03 13,Okhaldhunga,524 1 03 13 5 003,Psychosocial support,,,27,,,
Child Protection,Okhaldhunga,524 1 03 13,,,Unaccompanied and Separated Children identified,,,23,,,
Child Protection,Ramechhap,518 2 04 21,Sukajor,524 2 04 21 5 010,Establishment of child friendly spaces,,1,50,,,
Child Protection,Ramechhap,519 2 04 21,Ramechhap,524 2 04 21 5 001,Establishment of child friendly spaces,,1,80,,,
Child Protection,Ramechhap,520 2 04 21,Bhaluwajor,524 2 04 21 5 031,Establishment of child friendly spaces,,1,,,,
Child Protection,Ramechhap,521 2 04 21,Bhatauli,524 2 04 21 5 045,Establishment of child friendly spaces,,1,,,,
Child Protection,Ramechhap,522 2 04 21,Pakarbas,524 2 04 21 5 041,Establishment of child friendly spaces,, 1 ,,,,
Child Protection,Ramechhap,523 2 04 21,Manthali,524 2 04 21 5 030,Establishment of child friendly spaces,, 2 ,248,,,
Child Protection,Ramechhap,524 2 04 21,Ramechhap,524 2 04 21 5 001,Establishment of child friendly spaces,, 10 ,749,,,
Child Protection,Ramechhap,524 2 04 21,Rampur,524 2 04 21 5 008,Establishment of child friendly spaces,, 4 ,360,,,
Child Protection,Ramechhap,524 2 04 21,Manthali,524 2 04 21 5 030,Establishment of child friendly spaces,, 1 ,80,,,
Child Protection,Ramechhap,524 2 04 21,Himganga,524 2 04 21 5 007,Psychosocial support,,,13,,,
Child Protection,Ramechhap,524 2 04 21,Rampur,524 2 04 21 5 008,Psychosocial support,,,17,,,
Child Protection,Ramechhap,524 2 04 21,Bhirpani,524 2 04 21 5 043,Psychosocial support,,,19,,,
Child Protection,Ramechhap,524 2 04 21,Sandhutar,524 2 04 21 5 009,Psychosocial support,,,23,,,
Child Protection,Ramechhap,524 2 04 21,Ramechhap,524 2 04 21 5 001,Psychosocial support,,,92,,,
Child Protection,Ramechhap,524 2 04 21,Okhreni,524 2 04 21 5 005,Psychosocial support,,,32,,,
Child Protection,Ramechhap,524 2 04 21,Rakathum,524 2 04 21 5 042,Psychosocial support,,,35,,,
Child Protection,Ramechhap,524 2 04 21,Chuchure,524 2 04 21 5 019,Psychosocial support,,,55,,,
Child Protection,Ramechhap,524 2 04 21,Pakarbas,524 2 04 21 5 041,Psychosocial support,,,51,,,
Child Protection,Ramechhap,524 2 04 21,Gunsi,524 2 04 21 5 034,Psychosocial support,,,46,,,
Child Protection,Ramechhap,524 2 04 21,Lakhanpur,524 1 01 04 5 047,Psychosocial support,,,47,,,
Child Protection,Ramechhap,524 2 04 21,Bhuji,524 2 04 21 5 011,Psychosocial support,,,81,,,
Child Protection,Ramechhap,524 2 04 21,Bhuji,524 2 04 21 5 011,Psychosocial support,,,89,,,
Child Protection,Ramechhap,524 2 04 21,Duragaun,524 2 04 21 5 013,Psychosocial support,,,115,,,
Child Protection,Ramechhap,524 2 04 21,Those,524 2 04 21 5 023,Psychosocial support,,,233,,,
Child Protection,Ramechhap,524 2 04 21,Bethan,524 2 04 21 5 032,Psychosocial support,,,740,,,
Child Protection,Ramechhap,524 2 04 21,Hiledevi,524 2 04 21 5 035,Psychosocial support,,,495,,,
Child Protection,Ramechhap,524 2 04 21,Manthali,524 2 04 21 5 030,Psychosocial support,,,650,,,
Child Protection,Ramechhap,524 2 04 21,, ,Identification of Orphan Children,,,13,,,
Child Protection,Rasuwa,524 2 05 29,Syaphru,524 2 05 29 5 017,Establishment of child friendly spaces,, 2 ,52,,,
Child Protection,Rasuwa,524 2 05 29,Dhunche,524 2 05 29 5 002,Establishment of child friendly spaces,,,178,,,
Child Protection,Rasuwa,524 2 05 29,Syaphru,524 2 05 29 5 017,Establishment of child friendly spaces,, 1 ,33,,,
Child Protection,Rasuwa,524 2 05 29,Thulo Gaun,524 2 05 29 5 010,Psychosocial support,,,612,,,
Child Protection,Rasuwa,524 2 05 29,Ramche,524 2 05 23 5 028,Psychosocial support,,,374,,,
Child Protection,Rasuwa,524 2 05 29,Laharepauwa,524 2 05 29 5 007,Psychosocial support,,,643,,,
Child Protection,Rasuwa,524 2 05 29,Dhunche,524 2 05 29 5 002,Psychosocial support,,,838,,,
Child Protection,Rasuwa,524 2 05 29,Syaphru,524 2 05 29 5 017,Psychosocial support,,,448,,,
Child Protection,Rasuwa,524 2 05 29,Danda Gaun,524 2 05 29 5 009,Psychosocial support,,,400,,,
Child Protection,Rasuwa,524 2 05 29,Haku,524 2 05 29 5 001,Psychosocial support,,,788,,,
Child Protection,Rasuwa,524 2 05 29,Jibjibe (Nilkantha),524 2 05 29 5 006,Psychosocial support,,,989,,,
Child Protection,Rasuwa,524 2 05 29,Bhorle,524 2 05 29 5 005,Psychosocial support,,,1207,,,
Child Protection,Rasuwa,524 2 05 29,Thulo Gaun,524 2 05 29 5 010,Identification of Orphan Children,,,1,,,
Child Protection,Rasuwa,524 2 05 29,Laharepauwa,524 2 05 29 5 007,Identification of Orphan Children,,,3,,,
Child Protection,Rasuwa,524 2 05 29,Yarsa,524 2 05 29 5 003,Identification of Orphan Children,,,3,,,
Child Protection,Rasuwa,524 2 05 29,Dhunche,524 2 05 29 5 002,Identification of Orphan Children,,,4,,,
Child Protection,Rasuwa,524 2 05 29,Danda Gaun,524 2 05 29 5 009,Identification of Orphan Children,,,14,,,
Child Protection,Rasuwa,524 2 05 29,Ramche,524 2 05 23 5 028,Identification of Orphan Children,,,15,,,
Child Protection,Rasuwa,524 2 05 29,Langtang,524 2 05 29 5 015,Identification of Orphan Children,,,21,,,
Child Protection,Rasuwa,524 2 05 29,Haku,524 2 05 29 5 001,Identification of Orphan Children,,,39,,,
Child Protection,Rasuwa,524 2 05 29,, ,Identification of Orphan Children,,,108,,,
Child Protection,Rasuwa,524 2 05 29,,,Unaccompanied and Separated Children identified,,,32,,,
Child Protection,Sindhuli,524 2 04 20,Khangsang,524 2 04 20 5 001,Establishment of child friendly spaces,, 1 ,100,,,
Child Protection,Sindhuli,524 2 04 20,Swalpathana,524 2 04 20 5 005,Establishment of child friendly spaces,, 1 ,117,,,
Child Protection,Sindhuli,524 2 04 20,Sumnampokhari,524 2 04 20 5 006,Establishment of child friendly spaces,, 2 ,159,,,
Child Protection,Sindhuli,524 2 04 20,Lampantar,524 2 04 20 5 015,Establishment of child friendly spaces,, 1 ,45,,,
Child Protection,Sindhuli,524 2 04 20,Tosarangkhola,524 2 04 20 5 018,Establishment of child friendly spaces,, 1 ,133,,,
Child Protection,Sindhuli,524 2 04 20,Baseshwar,524 2 04 20 5 023,Establishment of child friendly spaces,, 2 ,117,,,
Child Protection,Sindhuli,524 2 04 20,Bhuvaneshwari Gwaltar,524 2 04 20 5 024,Establishment of child friendly spaces,, 1 ,77,,,
Child Protection,Sindhuli,524 2 04 20,Dudhbhanjyang,524 2 04 20 5 025,Establishment of child friendly spaces,, 1 ,58,,,
Child Protection,Sindhuli,524 2 04 20,, ,Psychosocial support,,,15,,,
Child Protection,Sindhuli,524 2 04 20,Bhadrakali,524 2 04 20 5 034,Psychosocial support,,,47,,,
Child Protection,Sindhuli,524 2 04 20,Swalpathana,524 2 04 20 5 005,Psychosocial support,,,35,,,
Child Protection,Sindhuli,524 2 04 20,Dudhauli,524 2 04 20 5 008,Psychosocial support,,,30,,,
Child Protection,Sindhuli,524 2 04 20,Pokhari,,Psychosocial support,,,57,,,
Child Protection,Sindhuli,524 2 04 20,Swalpathana,524 2 04 20 5 005,Psychosocial support,,,89,,,
Child Protection,Sindhuli,524 2 04 20,Kamalami Municipality,524 2 04 20 3 001,Psychosocial support,,,194,,,
Child Protection,Sindhuli,524 2 04 20,Ranibas,524 2 04 20 5 019,Psychosocial support,,,11,,,
Child Protection,Sindhuli,524 2 04 20,, ,Identification of Orphan Children,,,3,,,
Child Protection,Sindhupalchok,524 2 05 23,Kubhinde,524 1 03 12 5 003,Establishment of child friendly spaces,, 6 ,334,,,
Child Protection,Sindhupalchok,524 2 05 23,Jyamire,524 1 03 12 5 022,Establishment of child friendly spaces,, 2 ,123,,,
Child Protection,Sindhupalchok,524 2 05 23,Sunkhani,524 2 04 22 5 038,Establishment of child friendly spaces,, 1 ,87,,,
Child Protection,Sindhupalchok,524 2 05 23,Barhabise,524 2 05 23 5 002,Establishment of child friendly spaces,, 1 ,100,,,
Child Protection,Sindhupalchok,524 2 05 23,Pedku,524 2 05 23 5 010,Establishment of child friendly spaces,, 1 ,267,,,
Child Protection,Sindhupalchok,524 2 05 23,Jethal,524 2 05 23 5 011,Establishment of child friendly spaces,,,4,,,
Child Protection,Sindhupalchok,524 2 05 23,Tauthali,524 2 05 23 5 013,Establishment of child friendly spaces,,2,174,,,
Child Protection,Sindhupalchok,524 2 05 23,Gunsakun,524 2 05 23 5 015,Establishment of child friendly spaces,,2,208,,,
Child Protection,Sindhupalchok,524 2 05 23,Yamuna Danda,524 2 05 23 5 024,Establishment of child friendly spaces,, 1 ,103,,,
Child Protection,Sindhupalchok,524 2 05 23,Thumpakhar,524 2 05 23 5 026,Establishment of child friendly spaces,,,101,,,
Child Protection,Sindhupalchok,524 2 05 23,Pangretar,524 2 05 23 5 027,Establishment of child friendly spaces,, 1 ,67,,,
Child Protection,Sindhupalchok,524 2 05 23,Chautara,524 2 05 23 5 035,Establishment of child friendly spaces,, 3 ,137,,,
Child Protection,Sindhupalchok,524 2 05 23,Sanusirubari,524 2 05 23 5 039,Establishment of child friendly spaces,, 1 ,31,,,
Child Protection,Sindhupalchok,524 2 05 23,Kadambas,524 2 05 23 5 040,Establishment of child friendly spaces,,2,,,,
Child Protection,Sindhupalchok,524 2 05 23,Sangachok,524 2 05 23 5 042,Establishment of child friendly spaces,,3,429,,,
Child Protection,Sindhupalchok,524 2 05 23,Bhotsipa,524 2 05 23 5 043,Establishment of child friendly spaces,, 2 ,293,,,
Child Protection,Sindhupalchok,524 2 05 23,Bandegaun,524 2 05 23 5 044,Establishment of child friendly spaces,, 2 ,380,,,
Child Protection,Sindhupalchok,524 2 05 23,Bhimtar,524 2 05 23 5 045,Establishment of child friendly spaces,, 2 ,786,,,
Child Protection,Sindhupalchok,524 2 05 23,Sinpal Kavre,524 2 05 23 5 047,Establishment of child friendly spaces,, 1 ,159,,,
Child Protection,Sindhupalchok,524 2 05 23,Phulpingkot,524 2 05 23 5 049,Establishment of child friendly spaces,,,218,,,
Child Protection,Sindhupalchok,524 2 05 23,Banskharka,524 2 05 23 5 054,Establishment of child friendly spaces,, 1 ,115,,,
Child Protection,Sindhupalchok,524 2 05 23,Talamarang,524 2 05 23 5 060,Establishment of child friendly spaces,, 1 ,2,,,
Child Protection,Sindhupalchok,524 2 05 23,Melamchi,524 2 05 23 5 061,Establishment of child friendly spaces,, 1 ,2,,,
Child Protection,Sindhupalchok,524 2 05 23,Bansbari,524 2 05 23 5 066,Establishment of child friendly spaces,,2,2,,,
Child Protection,Sindhupalchok,524 2 05 23,Baruwa,524 2 05 23 5 070,Establishment of child friendly spaces,,,50,,,
Child Protection,Sindhupalchok,524 2 05 23,Thakani,524 2 05 23 5 071,Establishment of child friendly spaces,,1,164,,,
Child Protection,Sindhupalchok,524 2 05 23,Shikharpur,524 2 05 23 5 074,Establishment of child friendly spaces,,2,241,,,
Child Protection,Sindhupalchok,524 2 05 23,Lagarche,524 2 05 23 5 076,Establishment of child friendly spaces,,2,62,,,
Child Protection,Sindhupalchok,524 2 05 23,Bhotenamlang,524 2 05 23 5 077,Establishment of child friendly spaces,, 2 ,148,,,
Child Protection,Sindhupalchok,524 2 05 23,Phataksila,524 2 05 23 5 078,Establishment of child friendly spaces,, 1 ,1,,,
Child Protection,Sindhupalchok,524 2 05 23,Haibung,524 2 05 23 5 079,Establishment of child friendly spaces,, 1 ,86,,,
Child Protection,Sindhupalchok,524 2 05 23,Pedku,524 2 05 23 5 010,Psychosocial support,,,4,,,
Child Protection,Sindhupalchok,524 2 05 23,Gunsakun,524 2 05 23 5 015,Psychosocial support,,,5,,,
Child Protection,Sindhupalchok,524 2 05 23,Tauthali,524 2 05 23 5 013,Psychosocial support,,,6,,,
Child Protection,Sindhupalchok,524 2 05 23,Pangretar,524 2 05 23 5 027,Psychosocial support,,,7,,,
Child Protection,Sindhupalchok,524 2 05 23,, ,Psychosocial support,,,14,,,
Child Protection,Sindhupalchok,524 2 05 23,Sunkhani,524 2 04 22 5 038,Psychosocial support,,,15,,,
Child Protection,Sindhupalchok,524 2 05 23,,,Psychosocial support,,,8,,,
Child Protection,Sindhupalchok,524 2 05 23,Haibung,524 2 05 23 5 079,Psychosocial support,,,16,,,
Child Protection,Sindhupalchok,524 2 05 23,Yamuna Danda,524 2 05 23 5 024,Psychosocial support,,,12,,,
Child Protection,Sindhupalchok,524 2 05 23,Phulpingkot,524 2 05 23 5 049,Psychosocial support,,,20,,,
Child Protection,Sindhupalchok,524 2 05 23,Baruwa,524 2 05 23 5 070,Psychosocial support,,,11,,,
Child Protection,Sindhupalchok,524 2 05 23,Phulpingkot,524 2 05 23 5 049,Psychosocial support,,,16,,,
Child Protection,Sindhupalchok,524 2 05 23,Bhotenamlang,524 2 05 23 5 077,Psychosocial support,,,98,,,
Child Protection,Sindhupalchok,524 2 05 23,Banskharka,524 2 05 23 5 054,Psychosocial support,,,32,,,
Child Protection,Sindhupalchok,524 2 05 23,Thumpakhar,524 2 05 23 5 026,Psychosocial support,,,31,,,
Child Protection,Sindhupalchok,524 2 05 23,Thakani,524 2 05 23 5 071,Psychosocial support,,,39,,,
Child Protection,Sindhupalchok,524 2 05 23,Sinpal Kavre,524 2 05 23 5 047,Psychosocial support,,,76,,,
Child Protection,Sindhupalchok,524 2 05 23,Sanusirubari,524 2 05 23 5 039,Psychosocial support,,,55,,,
Child Protection,Sindhupalchok,524 2 05 23,Shikharpur,524 2 05 23 5 074,Psychosocial support,,,82,,,
